11.4	0.714
11.3	0.714
11.2	0.714
11.1	0.714
11	0.714
10.9	0.143
10.8	0.143
10.7	0.143
10.6	0.143
10.5	0.143
10.4	0.286
10.3	0.286
10.2	0.286
10.1	0.286
10	0.286
9.9	0.714
9.8	0.714
9.7	0.714
9.6	0.714
9.5	0.714
9.4	0.286
9.3	0.286
9.2	0.286
9.1	0.286
9	0.286
8.9	0.714
8.8	0.714
8.7	0.714
8.6	0.714
8.5	0.714
8.4	0.714
8.3	0.286
8.2	0.286
8.1	0.286
8	0.286
7.9	0.714
7.8	0.714
7.7	0.714
7.6	0.714
7.5	0.714
7.4	0.714
7.3	0.714
7.2	0.714
7.1	0.714
7	0.714
6.9	0.714
6.8	0.714
6.7	0.714
6.6	0.714
6.5	0.714
6.4	0.714
6.3	0.714
6.2	0.857
6.1	0.857
6	0.857
5.9	0.857
5.8	0.857
5.7	0.857
5.6	0.857
5.5	0.857
5.4	0.857
5.3	0.857
5.2	0.857
5.1	0.857
5	0.857
4.9	0.857
4.8	0.857
4.7	0.857
4.6	0.857
4.5	0.857
4.4	0.857
4.3	0.857
4.2	0.857
4.1	0.857
4	0.857
3.9	0.857
3.8	0.857
3.7	0.857
3.6	0.857
3.5	0.857
3.4	0.143
3.3	0.143
3.2	0.143
3.1	0.143
3	0.143
2.9	0.143
2.8	0.143
2.7	0.143
2.6	0.143
2.5	0.143
2.4	0.143
2.3	0.143
2.2	0.143
2.1	0.143
2	0.143
1.9	0.143
1.8	0.857
1.7	0.857
1.6	0.857
1.5	0.857
1.4	0.857
1.3	0.857
1.2	0.857
1.1	0.857
1	0.857
0.9	0.857
0.8	0.857
0.7	0.857
0.6	0.857
0.5	0.857
0.4	0.857
0.3	0.857
0.2	0.857
0.1	0.857
0	0.857
