11.4	0.571
11.3	0.571
11.2	0.571
11.1	0.571
11.0	0.571
10.9	0.286
10.8	0.286
10.7	0.286
10.6	0.286
10.5	0.286
10.4	0.143
10.3	0.143
10.2	0.143
10.1	0.143
10.0	0.143
9.9	0.571
9.8	0.571
9.7	0.571
9.6	0.571
9.5	0.571
9.4	0.143
9.3	0.143
9.2	0.143
9.1	0.143
9.0	0.143
8.9	0.571
8.8	0.571
8.7	0.571
8.6	0.571
8.5	0.571
8.4	0.571
8.3	0.143
8.2	0.143
8.1	0.143
8.0	0.143
7.9	0.571
7.8	0.571
7.7	0.571
7.6	0.571
7.5	0.571
7.4	0.571
7.3	0.571
7.2	0.571
7.1	0.571
7.0	0.571
6.9	0.571
6.8	0.571
6.7	0.571
6.6	0.571
6.5	0.571
6.4	0.571
6.3	0.571
6.2	0.429
6.1	0.429
6.0	0.429
5.9	0.429
5.8	0.429
5.7	0.429
5.6	0.429
5.5	0.429
5.4	0.429
5.3	0.429
5.2	0.429
5.1	0.429
5.0	0.429
4.9	0.429
4.8	0.429
4.7	0.429
4.6	0.429
4.5	0.429
4.4	0.429
4.3	0.429
4.2	0.429
4.1	0.429
4.0	0.429
3.9	0.429
3.8	0.429
3.7	0.429
3.6	0.429
3.5	0.429
3.4	0.286
3.3	0.286
3.2	0.286
3.1	0.286
3.0	0.286
2.9	0.286
2.8	0.286
2.7	0.286
2.6	0.286
2.5	0.286
2.4	0.286
2.3	0.286
2.2	0.286
2.1	0.286
2.0	0.286
1.9	0.286
1.8	0.429
1.7	0.429
1.6	0.429
1.5	0.429
1.4	0.429
1.3	0.429
1.2	0.429
1.1	0.429
1.0	0.429
0.9	0.429
0.8	0.429
0.7	0.429
0.6	0.429
0.5	0.429
0.4	0.429
0.3	0.429
0.2	0.429
0.1	0.429
0.0	0.429
