p_cs_prod,c_cs_prod,q_ratio,likelihood_proposal,likelihood,diff_likelihood
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-120.17656614188337,-124.19335065879903,4.0167845169156635
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-113.56490054239046,-124.19335065879903,10.628450116408573
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-117.15354271596172,-124.19335065879903,7.039807942837314
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-117.0458312727365,-124.19335065879903,7.147519386062527
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-117.19473568108498,-124.19335065879903,6.998614977714055
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-121.12939610282106,-124.19335065879903,3.063954555977972
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-117.94849606667424,-124.19335065879903,6.2448545921247955
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-116.14705610781348,-124.19335065879903,8.04629455098555
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-113.6381372052132,-124.19335065879903,10.555213453585836
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-112.06563444403803,-124.19335065879903,12.127716214761008
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-118.86807512764551,-124.19335065879903,5.3252755311535225
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.54537531311033,-124.19335065879903,8.647975345688707
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-117.73070340725994,-124.19335065879903,6.462647251539096
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-120.17700609983508,-124.19335065879903,4.016344558963951
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-118.65102188578908,-124.19335065879903,5.542328773009956
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-116.0568092501064,-124.19335065879903,8.136541408692636
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-117.46093413014546,-124.19335065879903,6.732416528653573
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.64433627320545,-124.19335065879903,8.54901438559358
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-130.91258439975616,-124.19335065879903,-6.719233740957122
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-114.16357237600609,-124.19335065879903,10.029778282792947
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.52093156309154,-124.19335065879903,8.672419095707497
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-113.57144501578023,-124.19335065879903,10.621905643018806
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-112.47913180899852,-124.19335065879903,11.714218849800517
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.21499873882314,-124.19335065879903,8.978351919975893
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-118.38272185585666,-124.19335065879903,5.810628802942375
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.89609496316976,-124.19335065879903,8.297255695629275
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-122.94624492794377,-124.19335065879903,1.2471057308552673
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-116.60888313803434,-124.19335065879903,7.58446752076469
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-120.56488122241424,-124.19335065879903,3.6284694363847905
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-120.77587945032431,-124.19335065879903,3.4174712084747227
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-122.78534092157255,-124.19335065879903,1.4080097372264788
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-113.83195065896612,-124.19335065879903,10.361399999832912
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-113.73187697115011,-124.19335065879903,10.461473687648919
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.90301728078103,-124.19335065879903,8.290333378018005
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.89242754729739,-124.19335065879903,8.300923111501646
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-116.15162373515184,-124.19335065879903,8.04172692364719
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-118.66006242685799,-124.19335065879903,5.533288231941043
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-118.60990862695365,-124.19335065879903,5.5834420318453795
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.50037942678784,-124.19335065879903,8.692971232011189
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-114.01299099032536,-124.19335065879903,10.18035966847367
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-119.79079035720092,-124.19335065879903,4.402560301598115
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-120.65204711785745,-124.19335065879903,3.541303540941584
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-115.80116304414294,-124.19335065879903,8.392187614656095
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-117.69110532084153,-124.19335065879903,6.502245337957504
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-120.91667593755132,-124.19335065879903,3.2766747212477156
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-108.51184383947927,-124.19335065879903,15.681506819319765
0.2490345173758716,1.6534559999999997e-10,6.639465152954734e-10,-116.87080199078082,-124.19335065879903,7.322548668018214
