depth	th_Shallow	th_Mod-deep	th_Deep	th_Sediment	prop_Shallow	prop_Mod-deep	prop_Deep	prop_Sediment	acc_Shallow	acc_Mod-deep	acc_Deep	acc_Sediment	sealevel	waterflow	sedinput
29.631606944444446	0.0	0.0	0.24749999999999997	0.13339305555555553	0.0	0.0	0.6497886910513668	0.3502113089486331	0.0	0.0	0.6497886910513668	1.0	-5.0	0.0	0.002669055555555555
29.048987335482256	0.0	0.0	0.44999999999999996	0.13261960896219133	0.0	0.0	0.7723735917532469	0.22762640824675295	0.0	0.0	0.7723735917532469	0.9999999999999999	-4.875	0.0396215434016593	0.002646843895524691
28.46747553460658	0.0	0.0	0.44999999999999996	0.1315118008756756	0.0	0.0	0.7738450007761886	0.22615499922381144	0.0	0.0	0.7738450007761886	1.0	-4.625	0.03964988180704636	0.002624706212661541
27.887067852201042	0.0	0.0	0.44999999999999996	0.1304076824055369	0.0	0.0	0.7753170980352053	0.22468290196479465	0.0	0.0	0.7753170980352053	1.0	-4.375	0.03968070699300522	0.002602642260581038
27.30776061093774	0.0	0.0	0.44999999999999996	0.12930724126330292	0.0	0.0	0.7767898758156019	0.22321012418439812	0.0	0.0	0.7767898758156019	1.0	-4.125	0.03971422741776163	0.002580651793718714
26.72955014573631	0.0	0.0	0.44999999999999996	0.12821046520142876	0.0	0.0	0.7782633263879708	0.22173667361202917	0.0	0.0	0.7782633263879708	1.0	-3.875	0.03975066816331561	0.0025587345673279676
26.15243280372315	0.0	0.0	0.44999999999999996	0.12711734201316066	0.0	0.0	0.7797374420083499	0.22026255799164993	0.0	0.0	0.7797374420083499	0.9999999999999999	-3.625	0.03979027219021909	0.002536890337477339
25.57640494419075	0.0	0.0	0.44999999999999996	0.12602785953240017	0.0	0.0	0.7812122149183803	0.2187877850816197	0.0	0.0	0.7812122149183803	1.0	-3.375	0.03983330168142709	0.002515118861047796
25.001393771890516	0.0	0.0	0.44999999999999996	0.1250111723002353	0.0	0.0	0.7825934897922953	0.2174065102077046	0.0	0.0	0.7825934897922953	0.9999999999999999	-3.125	0.039873854728314916	0.0024961865623966953
24.42718779791136	0.0	0.0	0.44999999999999996	0.12420597397915759	0.0	0.0	0.7836909060377244	0.21630909396227566	0.0	0.0	0.7836909060377244	1.0	-2.8335	0.03991075170038135	0.002480112707706935
23.85378267660665	0.0	0.0	0.44999999999999996	0.12340512130471032	0.0	0.0	0.7847854567048204	0.2152145432951797	0.0	0.0	0.7847854567048204	1.0	-2.5	0.03994993668931384	0.0024640923323276556
23.28110823791428	0.0	0.0	0.44999999999999996	0.1226744386923649	0.0	0.0	0.7857867744673962	0.21421322553260394	0.0	0.0	0.7857867744673962	1.0000000000000002	-2.1665	0.039984143699802785	0.00245089203592082
22.708953114921897	0.0	0.0	0.44999999999999996	0.12215512299238673	0.0	0.0	0.7864999926007615	0.21350000739923844	0.0	0.0	0.7864999926007615	1.0	-1.7915	0.040012365379389535	0.0024404977038345174
22.137322241908585	0.0	0.0	0.44999999999999996	0.12163087301330933	0.0	0.0	0.7872213017954378	0.21277869820456216	0.0	0.0	0.7872213017954378	1.0	-1.375	0.04004224958520559	0.0024299380462042466
21.566291322830672	0.0	0.0	0.44999999999999996	0.12103091907791219	0.0	0.0	0.7880483962701176	0.21195160372988242	0.0	0.0	0.7880483962701176	1.0	-0.9615	0.040079042980620865	0.0024175152803225823
20.995883320619356	0.0	0.0	0.44999999999999996	0.12040800221131659	0.0	0.0	0.78890898840036	0.21109101159964017	0.0	0.0	0.78890898840036	1.0	-0.5765	0.04011777048615355	0.002405067333597286
20.396238482358136	0.0	0.030016847701715817	0.44999999999999996	0.11962799055950724	0.0	0.05005771047534572	0.7504442151204954	0.1994980744041588	0.0	0.05005771047534572	0.8005019255958411	0.9999999999999999	-0.1925	0.04018013561050651	0.002386227401005666
19.833198594216228	0.0	3.306203931367873e-08	0.4445263761336017	0.11851347894626524	0.0	5.8720598682248085e-08	0.7895113392420344	0.2104886020373668	0.0	5.8720598682248085e-08	0.7895113979626331	1.0	0.125	0.040256367917713115	0.0023649565923600678
19.368362124233947	0.0	5.514041110615135e-12	0.3473018297578576	0.11753464021890694	0.0	1.186232463822245e-11	0.7471484106466476	0.25285158934148994	0.0	1.186232463822245e-11	0.7471484106585099	0.9999999999999998	0.375	0.0403272253827028	0.002346672369141862
18.98790254156647	0.0	3.812403580510447e-14	0.2635624187728106	0.11689716389463244	0.0	1.0020521900857099e-13	0.6927474843054805	0.3072525156944192	0.0	1.0020521900857099e-13	0.6927474843055808	1.0	0.625	0.040373131909003754	0.002335495747503034
18.65990049319131	0.0	2.9659792770409964e-15	0.21149087608587505	0.11651117228928297	0.0	9.04256327585058e-15	0.6447852296458124	0.35521477035417853	0.0	9.04256327585058e-15	0.6447852296458214	1.0	0.875	0.040401823196348295	0.002328753388800221
18.3644784676072	0.0	1.0147791191161027e-15	0.17914046604260364	0.11628155954150442	0.0	3.43501510122571e-15	0.6063883208721716	0.3936116791278249	0.0	3.43501510122571e-15	0.6063883208721751	1.0	1.125	0.04041914155490382	0.0023247690154474224
18.10368042964661	0.0	9.810484394116797e-16	0.14485749124944436	0.11594054671114204	0.0	3.7617171014144635e-15	0.5554393444912945	0.444560655508702	0.0	3.7617171014144635e-15	0.5554393444912983	1.0000000000000002	1.375	0.04046662355765863	0.002314156637271869
